seq_length,category
27465,Category 2
27465,Category 2
27466,Category 2
27466,Category 2
27466,Category 2
27466,Category 2
27467,Category 2
27467,Category 2
27468,Category 2
27471,Category 2
27471,Category 2
27472,Category 2
27474,Category 2
27474,Category 2
27474,Category 2
27475,Category 2
27475,Category 2
27476,Category 2
27476,Category 2
27476,Category 2
27476,Category 2
27476,Category 2
27477,Category 2
27478,Category 2
27479,Category 2
27479,Category 2
27480,Category 2
27481,Category 2
27481,Category 2
27482,Category 2
27482,Category 2
27483,Category 2
27483,Category 2
27483,Category 2
27483,Category 2
27484,Category 2
27484,Category 2
27486,Category 2
27486,Category 2
27487,Category 2
27488,Category 2
27492,Category 2
27493,Category 2
27493,Category 2
27493,Category 2
27493,Category 2
27495,Category 2
27495,Category 2
27496,Category 2
27497,Category 2
27497,Category 2
27499,Category 2
27500,Category 2
27501,Category 2
27503,Category 2
27504,Category 2
27504,Category 2
27505,Category 2
27506,Category 2
27507,Category 2
27508,Category 2
27508,Category 2
27508,Category 2
27509,Category 2
27510,Category 2
27511,Category 2
27511,Category 2
27512,Category 2
27513,Category 2
27513,Category 2
27514,Category 2
27514,Category 2
27515,Category 2
27516,Category 2
27517,Category 2
27518,Category 2
27519,Category 2
27521,Category 2
27522,Category 2
27523,Category 2
27524,Category 2
27524,Category 2
27524,Category 2
27524,Category 2
27525,Category 2
27525,Category 2
27527,Category 2
27528,Category 2
27528,Category 2
27528,Category 2
27528,Category 2
27529,Category 2
27530,Category 2
27531,Category 2
27533,Category 2
27533,Category 2
27535,Category 2
27536,Category 2
27536,Category 2
27537,Category 2
27538,Category 2
27538,Category 2
27538,Category 2
27539,Category 2
27539,Category 2
27540,Category 2
27540,Category 2
27541,Category 2
27541,Category 2
27541,Category 2
27542,Category 2
27542,Category 2
27542,Category 2
27543,Category 2
27544,Category 2
27544,Category 2
27545,Category 2
27546,Category 2
27547,Category 2
27548,Category 2
27549,Category 2
27549,Category 2
27550,Category 2
27550,Category 2
27551,Category 2
27552,Category 2
27552,Category 2
27552,Category 2
27552,Category 2
27554,Category 2
27555,Category 2
27556,Category 2
27557,Category 2
27557,Category 2
27561,Category 2
27561,Category 2
27561,Category 2
27561,Category 2
27562,Category 2
27563,Category 2
27563,Category 2
27563,Category 2
27564,Category 2
27564,Category 2
27566,Category 2
27566,Category 2
27567,Category 2
27567,Category 2
27567,Category 2
27569,Category 2
27569,Category 2
27570,Category 2
27570,Category 2
27571,Category 2
27571,Category 2
27573,Category 2
27573,Category 2
27573,Category 2
27573,Category 2
27576,Category 2
27577,Category 2
27578,Category 2
27579,Category 2
27579,Category 2
27580,Category 2
27580,Category 2
27580,Category 2
27584,Category 2
27584,Category 2
27584,Category 2
27584,Category 2
27585,Category 2
27587,Category 2
27588,Category 2
27588,Category 2
27589,Category 2
27589,Category 2
27589,Category 2
27589,Category 2
27590,Category 2
27590,Category 2
27590,Category 2
27591,Category 2
27592,Category 2
27592,Category 2
27593,Category 2
27593,Category 2
27595,Category 2
27595,Category 2
27596,Category 2
27596,Category 2
27596,Category 2
27597,Category 2
27598,Category 2
27598,Category 2
27598,Category 2
27599,Category 2
27599,Category 2
27600,Category 2
27600,Category 2
27601,Category 2
27601,Category 2
27602,Category 2
27603,Category 2
27604,Category 2
27604,Category 2
27604,Category 2
27606,Category 2
27607,Category 2
27607,Category 2
27608,Category 2
27608,Category 2
27608,Category 2
27609,Category 2
27612,Category 2
27613,Category 2
27614,Category 2
27614,Category 2
27616,Category 2
27618,Category 2
27621,Category 2
27621,Category 2
27622,Category 2
27622,Category 2
27623,Category 2
27624,Category 2
27625,Category 2
27625,Category 2
27625,Category 2
27627,Category 2
27627,Category 2
27628,Category 2
27629,Category 2
27629,Category 2
27629,Category 2
27630,Category 2
27631,Category 2
27631,Category 2
27631,Category 2
27632,Category 2
27632,Category 2
27632,Category 2
27632,Category 2
27633,Category 2
27634,Category 2
27635,Category 2
27637,Category 2
27638,Category 2
27639,Category 2
27639,Category 2
27640,Category 2
27640,Category 2
27641,Category 2
27643,Category 2
27644,Category 2
27644,Category 2
27645,Category 2
27645,Category 2
27645,Category 2
27646,Category 2
27647,Category 2
27647,Category 2
27647,Category 2
27649,Category 2
27650,Category 2
27650,Category 2
27653,Category 2
27654,Category 2
27655,Category 2
27655,Category 2
27658,Category 2
27659,Category 2
27659,Category 2
27659,Category 2
27660,Category 2
27660,Category 2
27661,Category 2
27661,Category 2
27662,Category 2
27663,Category 2
27663,Category 2
27663,Category 2
27663,Category 2
27664,Category 2
27665,Category 2
27667,Category 2
27668,Category 2
27669,Category 2
27671,Category 2
27671,Category 2
27672,Category 2
27672,Category 2
27674,Category 2
27675,Category 2
27676,Category 2
27676,Category 2
27677,Category 2
27678,Category 2
27678,Category 2
27678,Category 2
27679,Category 2
27679,Category 2
27680,Category 2
27682,Category 2
27682,Category 2
27682,Category 2
27683,Category 2
27686,Category 2
27686,Category 2
27686,Category 2
27687,Category 2
27687,Category 2
27687,Category 2
27687,Category 2
27688,Category 2
27688,Category 2
27689,Category 2
27689,Category 2
27689,Category 2
27691,Category 2
27692,Category 2
27694,Category 2
27694,Category 2
27695,Category 2
27696,Category 2
27696,Category 2
27697,Category 2
27697,Category 2
27698,Category 2
27699,Category 2
27700,Category 2
27701,Category 2
27701,Category 2
27702,Category 2
27703,Category 2
27704,Category 2
27704,Category 2
27704,Category 2
27705,Category 2
27705,Category 2
27706,Category 2
27706,Category 2
27706,Category 2
27706,Category 2
27707,Category 2
27708,Category 2
27709,Category 2
27709,Category 2
27710,Category 2
27710,Category 2
27711,Category 2
27712,Category 2
27712,Category 2
27712,Category 2
27712,Category 2
27713,Category 2
27714,Category 2
27714,Category 2
27714,Category 2
27715,Category 2
27715,Category 2
27716,Category 2
27716,Category 2
27717,Category 2
27718,Category 2
27719,Category 2
27719,Category 2
27720,Category 2
27721,Category 2
27722,Category 2
27722,Category 2
27723,Category 2
27725,Category 2
27725,Category 2
27725,Category 2
27726,Category 2
27726,Category 2
27727,Category 2
27727,Category 2
27727,Category 2
27728,Category 2
27728,Category 2
27728,Category 2
27729,Category 2
27729,Category 2
27729,Category 2
27729,Category 2
27729,Category 2
27730,Category 2
27730,Category 2
27730,Category 2
27730,Category 2
27731,Category 2
27732,Category 2
27732,Category 2
27733,Category 2
27734,Category 2
27735,Category 2
27736,Category 2
27736,Category 2
27737,Category 2
27737,Category 2
27738,Category 2
27739,Category 2
27739,Category 2
27739,Category 2
27740,Category 2
27741,Category 2
27741,Category 2
27741,Category 2
27742,Category 2
27742,Category 2
27743,Category 2
27743,Category 2
27743,Category 2
27743,Category 2
27743,Category 2
27744,Category 2
27745,Category 2
27746,Category 2
27746,Category 2
27747,Category 2
27747,Category 2
27749,Category 2
